"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60"
"Aurora",80,56,84,81,99,99,98,81,68,64,90,3,72,98,57,71,53,49,82,98,13,10,40,61,92,66,95,83,90,93,92,4,34,54,70,99,62,95,59,99,79,61,95,95,7,16,23,94,73,70,57,23,75,89,81,7,25,70,77,72
"Braeburn",66,56,93,49,97,99,84,71,64,4,39,76,14,98,75,34,88,21,62,90,22,8,73,43,88,75,31,81,92,95,70,59,25,74,74,71,78,96,51,91,45,66,28,94,50,92,18,38,31,23,98,0,85,68,97,14,35,76,62,59
"Celeste",10,50,63,43,97,58,89,65,30,68,25,32,2,68,47,49,47,72,82,3,3,83,42,85,43,23,82,76,11,39,41,35,70,55,32,95,57,48,35,48,43,55,41,95,49,50,70,70,85,86,23,65,60,67,70,25,38,12,26,50
"Compact Golden Delicious",30,41,34,52,0,41,73,25,54,31,54,31,82,15,11,50,51,56,80,31,21,70,27,83,11,31,39,84,0,4,4,44,56,42,23,3,19,12,52,8,71,46,44,7,23,14,72,70,36,18,50,99,39,79,11,72,61,27,17,40
"Fiesta",13,23,5,67,70,99,49,50,90,69,0,62,10,42,63,89,79,42,89,40,0,1,17,43,17,3,74,77,12,17,29,47,13,18,55,10,54,38,12,0,87,47,34,89,26,3,46,89,3,12,46,3,59,88,5,3,38,15,43,47
"Fuji",80,68,90,65,78,99,95,47,16,93,75,44,28,37,73,74,63,48,91,23,88,24,49,95,38,84,35,64,3,52,75,92,64,64,25,88,66,37,58,99,41,55,55,69,45,93,64,82,38,57,55,94,81,79,93,37,83,63,50,52
"G/S330",75,60,53,95,0,85,68,41,64,38,87,2,21,47,22,70,57,53,78,3,90,99,28,78,71,26,84,61,71,14,35,87,22,74,34,73,60,22,66,88,48,72,85,44,87,67,91,17,18,43,49,61,65,84,54,93,91,61,43,60
"Golden Delicious",63,37,86,58,7,46,82,66,32,10,46,7,11,25,70,51,47,11,44,60,5,35,38,49,70,85,80,72,19,11,48,7,33,44,38,25,56,98,34,49,37,61,38,49,51,78,61,34,45,30,24,69,30,81,42,3,48,35,40,66
"Granny Smith",73,56,38,69,94,77,75,18,78,76,30,30,68,68,75,33,74,52,67,68,99,39,80,62,75,71,84,78,49,58,48,33,33,76,60,99,67,44,77,62,78,43,32,93,52,79,24,59,26,39,98,20,33,81,81,38,32,49,72,61
"Royal Gala",39,33,63,97,0,85,95,70,39,92,65,48,5,60,58,69,51,32,60,48,23,75,28,95,50,17,44,75,33,34,8,87,48,34,45,65,65,12,30,69,31,64,46,25,41,4,47,32,7,68,37,87,25,74,16,81,72,35,26,59
"Splendour",38,29,69,90,68,30,52,76,27,85,67,26,54,24,38,35,57,68,42,23,93,24,6,95,78,58,86,46,33,31,57,65,87,38,56,37,35,5,69,96,68,36,67,46,99,38,47,17,12,16,51,94,32,68,27,25,64,39,20,21
"Top Red",22,28,76,38,7,54,87,16,31,2,95,33,62,23,43,18,48,57,68,49,95,60,38,92,84,51,47,35,17,44,41,32,49,20,79,84,61,17,84,25,49,56,58,95,78,65,74,26,10,87,46,69,63,70,34,40,65,45,26,63
